ACAD,Quarter,School No,School Name,School Type,Offering,SSF Date,Orientation Status,Orientation Date,Meeting Id
Demo,Oct-Dec,5059762,Project RISE,New School,Ei ASSET,2025-12-02T00:00:00.000,Pending,,
Unknown,Oct-Dec,3224798,Mount Columbus School,New School,Ei Mindspark,2025-11-29T00:00:00.000,Pending,,
Lopamudra Das,Oct-Dec,5063250,Fun Learn Day Boarding School,New School,Ei ASSET,2025-11-28T00:00:00.000,Pending,,
Unknown,Oct-Dec,5094121,Yashasvi International School,New School,Ei CARES,2025-11-26T00:00:00.000,Pending,,
Bhavishya Bansal,Oct-Dec,3857260,"La Montessori School, Dunkhra",New School,Ei CARES,2025-11-25T00:00:00.000,Pending,,
Bhavishya Bansal,Oct-Dec,3857130,"La Montessori School, Ner Chowk",New School,Ei CARES,2025-11-25T00:00:00.000,Pending,,
Shruti Chauhan,Oct-Dec,5097252,St. Agnes Loreto Day School,New School,Ei ASSET,2025-11-25T00:00:00.000,Pending,,
Bhavishya Bansal,Oct-Dec,2508568,"La Montessori School, Kelheli",New School,Ei CARES,2025-11-25T00:00:00.000,Pending,,
Bhavishya Bansal,Oct-Dec,1173541,"La Montessori School, Dhalpur",New School,Ei CARES,2025-11-25T00:00:00.000,Pending,,
Jasper Jessie,Oct-Dec,2827739,Vriksha Global School,New School,Ei CARES,2025-11-24T00:00:00.000,Pending,,
Jasper Jessie,Oct-Dec,2827739,Vriksha Global School,New School,Ei Mindspark,2025-11-20T00:00:00.000,Pending,,
Demo,Oct-Dec,3209912,EI School (Internal),New School,Ei ASSET,2025-11-19T00:00:00.000,Pending,,
Aarti Iyer,Oct-Dec,5099788,"Elpro International School, Hinjewadi",New School,Ei Mindspark,2025-11-18T00:00:00.000,Completed,2025-12-10T14:30:00.000,51788000302295200
Tanya Marina Brooks,Oct-Dec,1011788,Vivekanand School,New School,Ei ASSET,2025-11-18T00:00:00.000,Completed,2025-12-03T14:00:09.000,51788000301821096
Jasper Jessie,Oct-Dec,2470230,The Samhita Academy,New School,Ei Mindspark,2025-11-13T00:00:00.000,Pending,,
Sudhi Malhotra,Oct-Dec,1324784,Tulsi Public School,New School,Ei CARES,2025-11-11T00:00:00.000,Pending,,
Aarti Iyer,Oct-Dec,5099788,"Elpro International School, Hinjewadi",New School,Ei ASSET,2025-11-08T00:00:00.000,Completed,2025-11-29T09:00:00.000,51788000301866136
Aarti Iyer,Oct-Dec,5000918,"Elpro International School, Chinchwad",New School,Ei ASSET,2025-11-08T00:00:00.000,Completed,2025-11-29T09:00:00.000,51788000301872110
Aarti Iyer,Oct-Dec,5000918,"Elpro International School, Chinchwad",New School,Ei CARES,2025-11-08T00:00:00.000,Pending,,
Aditya Kumar,Oct-Dec,5018578,Vidhya Vishwalaya,New School,Ei CARES,2025-11-07T00:00:00.000,Pending,,
Manavi Khandelwal,Oct-Dec,5053374,Sunflower Vedic School,New School,Ei CARES,2025-11-07T00:00:00.000,Pending,,
Unknown,Oct-Dec,3495234,Sant Atulanand Residential Academy (SARA),New School,Ei CARES,2025-11-07T00:00:00.000,Pending,,
Aarti Iyer,Oct-Dec,5094396,"Vision Coaching Classes, Baner",New School,Ei Mindspark,2025-11-05T00:00:00.000,Completed,2025-11-27T23:00:00.000,51788000301521304
Unassigned,Oct-Dec,5098498,"Jawahar Navodaya Vidyalaya, Nagpur",New School,Ei ASSET,2025-11-04T00:00:00.000,Pending,,
Unassigned,Oct-Dec,5098347,"Jawahar Navodaya Vidyalaya, Kolhapur",New School,Ei ASSET,2025-11-04T00:00:00.000,Pending,,
Demo,Oct-Dec,5017402,"Jawahar Navodaya Vidyalaya, Wardha",New School,Ei ASSET,2025-11-04T00:00:00.000,Pending,,
Unassigned,Oct-Dec,5098665,"Jawahar Navodaya Vidayalaya, Bharuch",New School,Ei ASSET,2025-11-04T00:00:00.000,Pending,,
Unassigned,Oct-Dec,5098538,PM Shri Jawahar Navodaya Vidyalaya,New School,Ei ASSET,2025-11-04T00:00:00.000,Pending,,
Gargi Ghosh,Oct-Dec,5054739,Swami Janaki Das Vidyapith,New School,Ei CARES,2025-10-24T00:00:00.000,Pending,,
